sub,fv_fmap_serdescript,sst_fmap_serdescript
001,gre_field_mapping,gre_field_mapping_sst
002,gre_field_mapping_FV,gre_field_mapping_sst
003,gre_field_mapping_FV,gre_field_mapping_sst
005,gre_field_mapping_FV,gre_field_mapping_sst
006,,gre_field_mapping
009,gre_field_mapping_fv,gre_field_mapping_sst
010,gre_field_mapping_fv,gre_field_mapping_sst
013,gre_field_mapping_-_fv,gre_field_mapping_-_sst
014,gre_field_mapping_fv,gre_field_mapping_sst
015,gre_field_mapping fv,gre_field_mapping sst
017,gre_field_mapping_fv,
018,gre_field_mapping_fv,gre_field_mapping sst
019,gre_field_mapping_fv,gre_field_mapping_sst
020,gre_field_mapping_FV,gre_field_mapping_sst
028,gre_field_mapping_fv,gre_field_mapping_sst
016,gre_field_mapping_FV,gre_field_mapping_SST
029,gre_field_mapping_FV,gre_field_mapping_sst
030,gre_field_mapping_fv,gre_field_mapping_sst
032,gre_field_mapping FV,gre_field_mapping sst
033,gre_field_mapping_fv,gre_field_mapping_sst
035,gre_field_mapping_fv,gre_field_mapping_sst
037,gre_field_mapping_fv,
040,,
041,gre_field_mapping_fv,
042,gre_field_mapping_fv,gre_field_mapping_sst
045,gre_field_mapping_fv,gre_field_mapping_sst
025,gre_field_mapping_FV,gre_field_mapping
046,gre_field_mapping_fv,
047,gre_field_mapping_fv,gre_field_mapping_sst
048,,
053,gre_field_mapping_fv,
055,gre_field_mapping_fv,
058,gre_field_mapping_fv,gre_field_mapping_sst
021,gre_field_mapping_fv,
022,gre_field_mapping_FV,gre_field_mapping_sst
023,gre_field_mapping_fv,
026,,
059,gre_field_mapping_fv,gre_field_mapping_sst
060,gre_field_mapping_fv,gre_field_mapping_sst
061,gre_field_mapping_fv,gre_field_mapping_sst
062,gre_field_mapping_fv,gre_field_mapping_sst
063,gre_field_mapping_fv,gre_field_mapping_sst
068,gre_field_mapping_fv,gre_field_mapping_sst
069,gre_field_mapping_fv,gre_field_mapping_sst
071,gre_field_mapping_fv,
072,gre_field_mapping_fv,
074,gre_field_mapping_fv,gre_field_mapping_sst
075,gre_field_mapping_fv,gre_field_mapping_sst
076,gre_field_mapping_fv,gre_field_mapping_sst
077,gre_field_mapping_fv,gre_field_mapping_sst
083,,
085,gre_field_mapping_fv,
086,gre_field_mapping_fv,
093,gre_field_mapping_fv,gre_field_mapping_sst
095,gre_field_mapping_fv,gre_field_mapping_sst
084,gre_field_mapping_fv,gre_field_mapping_sst
