onset	duration	sub	run_num	commercial_cond	stim_file_name	response	response_time	food_ed	food_taste	sys_onset_time
0	2	sub-002	2	food	wait	n/a	n/a	high	sweet	520653100
2	2.2	sub-002	2	food	c1_instruct	n/a	n/a	high	sweet	520655100
4.2	15.2	sub-002	2	food	setA_blockA_food1.mp4	n/a	n/a	high	sweet	520657300
19.4	15	sub-002	2	food	setA_blockA_food2.mp4	n/a	n/a	high	sweet	520672500
34.4	10.1	sub-002	2	food	fix	n/a	n/a	high	sweet	520687500
44.5	2	sub-002	2	food	foodviewing_instruct	n/a	n/a	high	sweet	520697600
46.5	0.5	sub-002	2	food	foodview_fix	n/a	n/a	high	sweet	520699600
47	1.6	sub-002	2	food	setA_hed_sweet1.jpeg	1	872	high	sweet	520700100
48.6	0.5	sub-002	2	food	foodview_fix	n/a	n/a	high	sweet	520701700
49.1	1.5	sub-002	2	food	setA_hed_sweet2.jpeg	1	844	high	sweet	520702200
50.6	0.6	sub-002	2	food	foodview_fix	n/a	n/a	high	sweet	520703700
51.2	1.5	sub-002	2	food	setA_hed_sweet3.jpeg	1	971	high	sweet	520704300
52.7	0.5	sub-002	2	food	foodview_fix	n/a	n/a	high	sweet	520705800
53.2	1.6	sub-002	2	food	setA_hed_sweet4.jpeg	1	821	high	sweet	520706300
54.8	0.5	sub-002	2	food	foodview_fix	n/a	n/a	high	sweet	520707900
55.3	1.5	sub-002	2	food	setA_hed_sweet5.jpeg	1	1105	high	sweet	520708400
56.8	10	sub-002	2	food	fix	n/a	n/a	high	sweet	520709900
66.8	2.2	sub-002	2	toy	c2_instruct	n/a	n/a	high	savory	520719900
69	15.2	sub-002	2	toy	setA_blockA_toy1.mp4	n/a	n/a	high	savory	520722100
84.2	15	sub-002	2	toy	setA_blockA_toy2.mp4	n/a	n/a	high	savory	520737300
99.2	10	sub-002	2	toy	fix	n/a	n/a	high	savory	520752300
109.2	2	sub-002	2	toy	foodviewing_instruct	n/a	n/a	high	savory	520762300
111.2	0.5	sub-002	2	toy	foodview_fix	n/a	n/a	high	savory	520764300
111.7	1.6	sub-002	2	toy	setA_hed_savory1.jpeg	1	1063	high	savory	520764800
113.3	0.5	sub-002	2	toy	foodview_fix	n/a	n/a	high	savory	520766400
113.8	1.5	sub-002	2	toy	setA_hed_savory2.jpeg	1	1064	high	savory	520766900
115.3	0.6	sub-002	2	toy	foodview_fix	n/a	n/a	high	savory	520768400
115.9	1.5	sub-002	2	toy	setA_hed_savory3.jpeg	1	882	high	savory	520769000
117.4	0.5	sub-002	2	toy	foodview_fix	n/a	n/a	high	savory	520770500
