onset	duration	sub	run_num	set	run_cond	stim_file_name	trial_num	type	block	img_cat	go_stim	signal	reqSSD	correct	response	response_time	trueSSD
0	2	sub-002	6	E	toy	wait	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2	2.2	sub-002	6	E	toy	c1_instruct	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.2	15.8	sub-002	6	E	toy	setE_toy1.mp4	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
20	10	sub-002	6	E	toy	fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
30	2.1	sub-002	6	E	toy	sst_instruct	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
32.1	0.6	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
32.7	0.7	sub-002	6	E	toy	go1_savory5.jpeg	361	fMRI	1	savory	1	0	0	4	1	0.713	0
33.4	0.3	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
33.7	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34.2	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34.7	0.5	sub-002	6	E	toy	go1_savory5.jpeg	362	fMRI	1	savory	1	0	0	2	2	0.431	0
35.2	0.6	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.8	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
36.3	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
