run	set	food_cond	commercial_condfood_cond	stim	onset_time
1	B	hed_sweet	T	wait	5.203562e+08
1	B	hed_sweet	T	c1_instruct	5.203583e+08
1	B	hed_sweet	T	setB_blockB_toy1.mp4	5.203606e+08
1	B	hed_sweet	T	setB_blockB_toy2.mp4	5.203763e+08
1	B	hed_sweet	T	fix	5.203919e+08
1	B	hed_sweet	T	foodviewing_instruct	5.204019e+08
1	B	hed_sweet	T	foodview_fix	5.204039e+08
1	B	hed_sweet	T	setB_hed_sweet1.jpeg	5.204045e+08
1	B	hed_sweet	T	foodview_fix	5.204060e+08
1	B	hed_sweet	T	setB_hed_sweet2.jpeg	5.204065e+08
1	B	hed_sweet	T	foodview_fix	5.204081e+08
1	B	hed_sweet	T	setB_hed_sweet3.jpeg	5.204086e+08
1	B	hed_sweet	T	foodview_fix	5.204102e+08
1	B	hed_sweet	T	setB_hed_sweet4.jpeg	5.204107e+08
1	B	hed_sweet	T	foodview_fix	5.204122e+08
1	B	hed_sweet	T	setB_hed_sweet5.jpeg	5.204128e+08
1	B	hed_sweet	T	fix	5.204143e+08
1	B	hed_savory	F	c2_instruct	5.204243e+08
1	B	hed_savory	F	setB_blockB_food1.mp4	5.204265e+08
1	B	hed_savory	F	setB_blockB_food2.mp4	5.204417e+08
1	B	hed_savory	F	fix	5.204569e+08
1	B	hed_savory	F	foodviewing_instruct	5.204669e+08
1	B	hed_savory	F	foodview_fix	5.204689e+08
1	B	hed_savory	F	setB_hed_savory1.jpeg	5.204695e+08
1	B	hed_savory	F	foodview_fix	5.204710e+08
1	B	hed_savory	F	setB_hed_savory2.jpeg	5.204715e+08
1	B	hed_savory	F	foodview_fix	5.204730e+08
1	B	hed_savory	F	setB_hed_savory3.jpeg	5.204736e+08
1	B	hed_savory	F	foodview_fix	5.204751e+08
1	B	hed_savory	F	setB_hed_savory4.jpeg	5.204756e+08
1	B	hed_savory	F	foodview_fix	5.204772e+08
1	B	hed_savory	F	setB_hed_savory5.jpeg	5.204777e+08
1	B	hed_savory	F	fix	5.204792e+08
1	B	led_sweet	F	c2_instruct	5.204892e+08
