type	run	set	run_cond	block	img_cat	stim	signal	reqSSD	correct	resp1	rt1	trueSSD	stimName
Beh	1	G	food	1	sweet	1	0	0	4	1	552	0	go1_sweet5.jpeg
Beh	1	G	food	1	sweet	1	0	0	4	1	591	0	go1_sweet2.jpeg
Beh	1	G	food	1	sweet	2	1	250	3	1	118	254	go2_sweet1.jpeg
Beh	1	G	food	1	sweet	2	0	0	2	1	358	0	go2_sweet1.jpeg
Beh	1	G	food	1	sweet	2	0	0	4	2	405	0	go2_sweet2.jpeg
Beh	1	G	food	1	sweet	2	0	0	4	2	343	0	go2_sweet6.jpeg
Beh	1	G	food	1	sweet	2	1	200	3	2	257	203	go2_sweet3.jpeg
Beh	1	G	food	1	sweet	1	1	150	3	2	259	154	go1_sweet1.jpeg
Beh	1	G	food	1	sweet	1	0	0	4	1	253	0	go1_sweet1.jpeg
Beh	1	G	food	1	sweet	2	0	0	4	2	388	0	go2_sweet2.jpeg
Beh	1	G	food	1	sweet	2	0	0	4	2	499	0	go2_sweet4.jpeg
Beh	1	G	food	1	sweet	2	1	100	3	1	311	103	go2_sweet2.jpeg
Beh	1	G	food	1	sweet	1	1	50	3	1	493	54	go1_sweet6.jpeg
Beh	1	G	food	1	sweet	2	0	0	4	2	948	0	go2_sweet1.jpeg
Beh	1	G	food	1	sweet	1	0	0	2	2	289	0	go1_sweet2.jpeg
Beh	1	G	food	1	sweet	1	0	0	4	1	419	0	go1_sweet1.jpeg
Beh	1	G	food	1	sweet	1	0	0	4	1	292	0	go1_sweet6.jpeg
Beh	1	G	food	1	sweet	2	0	0	2	1	210	0	go2_sweet3.jpeg
Beh	1	G	food	1	sweet	1	1	50	3	1	313	53	go1_sweet5.jpeg
Beh	1	G	food	1	sweet	1	1	50	3	2	98	54	go1_sweet3.jpeg
Beh	1	G	food	1	sweet	2	0	0	2	1	400	0	go2_sweet5.jpeg
Beh	1	G	food	1	sweet	1	0	0	4	1	522	0	go1_sweet6.jpeg
Beh	1	G	food	1	sweet	2	0	0	4	2	282	0	go2_sweet5.jpeg
Beh	1	G	food	1	sweet	2	0	0	2	1	253	0	go2_sweet4.jpeg
Beh	1	G	food	1	sweet	2	1	50	3	2	438	53	go2_sweet4.jpeg
Beh	1	G	food	1	sweet	2	0	0	4	2	628	0	go2_sweet4.jpeg
Beh	1	G	food	1	sweet	1	0	0	4	1	404	0	go1_sweet3.jpeg
