type	run	set	run_cond	block	img_cat	stim	signal	reqSSD	correct	resp1	rt1	trueSSD	stimName
fMRI	1	F	toy	1	sweet	2	0	0	1	0	0	0	go2_sweet4.jpeg
fMRI	1	F	toy	1	sweet	1	1	250	3	1	711	253	go1_sweet4.jpeg
fMRI	1	F	toy	1	sweet	2	0	0	2	1	0	0	go2_sweet3.jpeg
fMRI	1	F	toy	1	sweet	1	1	200	3	2	377	203	go1_sweet5.jpeg
fMRI	1	F	toy	1	sweet	2	1	150	3	2	343	154	go2_sweet2.jpeg
fMRI	1	F	toy	1	sweet	1	0	0	4	1	431	0	go1_sweet6.jpeg
fMRI	1	F	toy	1	sweet	2	1	100	3	1	415	104	go2_sweet1.jpeg
fMRI	1	F	toy	1	sweet	1	0	0	4	1	601	0	go1_sweet2.jpeg
fMRI	1	F	toy	1	sweet	2	0	0	1	0	0	0	go2_sweet1.jpeg
fMRI	1	F	toy	1	sweet	2	1	50	3	1	0	55	go2_sweet6.jpeg
fMRI	1	F	toy	1	sweet	1	1	50	3	1	392	55	go1_sweet2.jpeg
fMRI	1	F	toy	1	sweet	2	0	0	4	2	769	0	go2_sweet6.jpeg
fMRI	1	F	toy	1	sweet	2	0	0	4	2	710	0	go2_sweet5.jpeg
fMRI	1	F	toy	1	sweet	1	1	50	3	2	746	52	go1_sweet3.jpeg
fMRI	1	F	toy	1	sweet	1	0	0	4	1	813	0	go1_sweet3.jpeg
fMRI	1	F	toy	1	sweet	1	0	0	4	1	767	0	go1_sweet5.jpeg
fMRI	1	F	toy	1	sweet	2	0	0	4	2	883	0	go2_sweet1.jpeg
fMRI	1	F	toy	1	sweet	1	0	0	4	1	441	0	go1_sweet5.jpeg
fMRI	1	F	toy	1	sweet	1	0	0	4	1	694	0	go1_sweet2.jpeg
fMRI	1	F	toy	1	sweet	1	0	0	4	1	617	0	go1_sweet4.jpeg
fMRI	1	F	toy	1	sweet	1	0	0	4	1	533	0	go1_sweet3.jpeg
fMRI	1	F	toy	1	sweet	2	0	0	4	2	600	0	go2_sweet6.jpeg
fMRI	1	F	toy	1	sweet	1	0	0	4	1	627	0	go1_sweet1.jpeg
fMRI	1	F	toy	1	sweet	2	0	0	4	2	599	0	go2_sweet2.jpeg
fMRI	1	F	toy	1	sweet	2	0	0	4	2	618	0	go2_sweet6.jpeg
fMRI	1	F	toy	1	sweet	1	0	0	4	1	541	0	go1_sweet4.jpeg
fMRI	1	F	toy	1	sweet	1	1	50	4	0	0	53	go1_sweet1.jpeg
fMRI	1	F	toy	1	sweet	2	0	0	4	2	490	0	go2_sweet5.jpeg
fMRI	1	F	toy	1	sweet	2	1	100	3	2	475	103	go2_sweet6.jpeg
fMRI	1	F	toy	1	sweet	2	0	0	2	1	487	0	go2_sweet2.jpeg
fMRI	1	F	toy	1	sweet	2	1	50	4	0	0	53	go2_sweet3.jpeg
fMRI	1	F	toy	1	sweet	1	0	0	4	1	543	0	go1_sweet1.jpeg
fMRI	1	F	toy	1	sweet	2	0	0	4	2	650	0	go2_sweet1.jpeg
fMRI	1	F	toy	1	sweet	2	0	0	4	2	543	0	go2_sweet3.jpeg
fMRI	1	F	toy	1	sweet	1	0	0	2	2	367	0	go1_sweet4.jpeg
fMRI	1	F	toy	1	sweet	1	0	0	4	1	411	0	go1_sweet2.jpeg
fMRI	1	F	toy	2	savory	1	0	0	4	1	712	0	go1_savory1.jpeg
fMRI	1	F	toy	2	savory	1	0	0	4	1	680	0	go1_savory2.jpeg
fMRI	1	F	toy	2	savory	1	0	0	4	1	489	0	go1_savory1.jpeg
fMRI	1	F	toy	2	savory	1	0	0	4	1	571	0	go1_savory1.jpeg
fMRI	1	F	toy	2	savory	2	0	0	2	1	632	0	go2_savory4.jpeg
fMRI	1	F	toy	2	savory	1	0	0	4	1	497	0	go1_savory4.jpeg
fMRI	1	F	toy	2	savory	1	0	0	4	1	757	0	go1_savory3.jpeg
fMRI	1	F	toy	2	savory	2	1	100	4	0	0	104	go2_savory2.jpeg
fMRI	1	F	toy	2	savory	2	0	0	4	2	543	0	go2_savory4.jpeg
fMRI	1	F	toy	2	savory	2	0	0	4	2	661	0	go2_savory3.jpeg
fMRI	1	F	toy	2	savory	2	0	0	4	2	820	0	go2_savory3.jpeg
fMRI	1	F	toy	2	savory	2	1	150	3	2	545	154	go2_savory3.jpeg
fMRI	1	F	toy	2	savory	2	0	0	4	2	508	0	go2_savory2.jpeg
fMRI	1	F	toy	2	savory	1	1	100	4	0	0	104	go1_savory4.jpeg
fMRI	1	F	toy	2	savory	2	0	0	4	2	507	0	go2_savory5.jpeg
fMRI	1	F	toy	2	savory	2	0	0	4	2	584	0	go2_savory5.jpeg
fMRI	1	F	toy	2	savory	1	0	0	2	2	608	0	go1_savory6.jpeg
fMRI	1	F	toy	2	savory	2	1	150	4	0	0	153	go2_savory6.jpeg
fMRI	1	F	toy	2	savory	2	0	0	4	2	694	0	go2_savory5.jpeg
fMRI	1	F	toy	2	savory	1	0	0	4	1	527	0	go1_savory3.jpeg
fMRI	1	F	toy	2	savory	1	0	0	4	1	617	0	go1_savory6.jpeg
fMRI	1	F	toy	2	savory	2	1	200	3	2	691	205	go2_savory4.jpeg
fMRI	1	F	toy	2	savory	1	0	0	4	1	617	0	go1_savory4.jpeg
fMRI	1	F	toy	2	savory	1	0	0	2	2	853	0	go1_savory4.jpeg
fMRI	1	F	toy	2	savory	1	1	150	3	1	687	153	go1_savory5.jpeg
fMRI	1	F	toy	2	savory	1	1	100	4	0	0	105	go1_savory1.jpeg
fMRI	1	F	toy	2	savory	2	0	0	4	2	645	0	go2_savory6.jpeg
fMRI	1	F	toy	2	savory	1	1	150	3	1	489	153	go1_savory2.jpeg
fMRI	1	F	toy	2	savory	1	0	0	4	1	508	0	go1_savory6.jpeg
fMRI	1	F	toy	2	savory	2	0	0	4	2	632	0	go2_savory2.jpeg
fMRI	1	F	toy	2	savory	2	0	0	4	2	577	0	go2_savory5.jpeg
fMRI	1	F	toy	2	savory	2	1	100	4	0	0	103	go2_savory5.jpeg
fMRI	1	F	toy	2	savory	1	1	150	3	1	503	153	go1_savory3.jpeg
