type	run	set	run_cond	block	img_cat	stim	signal	reqSSD	correct	resp1	rt1	trueSSD	stimName
Prac	prac	P	NA	1	savory	2	0	0	4	2	668	0	go2_savory5.jpeg
Prac	prac	P	NA	1	sweet	1	0	0	4	1	664	0	go1_sweet2.jpeg
Prac	prac	P	NA	1	sweet	1	1	250	4	0	0	251	go1_sweet3.jpeg
Prac	prac	P	NA	1	savory	1	0	0	1	0	0	0	go1_savory3.jpeg
Prac	prac	P	NA	1	savory	1	0	0	4	1	584	0	go1_savory1.jpeg
Prac	prac	P	NA	1	savory	2	1	300	3	2	424	304	go2_savory1.jpeg
Prac	prac	P	NA	1	sweet	2	0	0	4	2	689	0	go2_sweet3.jpeg
Prac	prac	P	NA	1	savory	1	0	0	4	1	418	0	go1_savory1.jpeg
Prac	prac	P	NA	1	sweet	1	1	250	3	2	334	254	go1_sweet6.jpeg
Prac	prac	P	NA	1	sweet	1	0	0	4	1	537	0	go1_sweet1.jpeg
Prac	prac	P	NA	1	sweet	2	0	0	4	2	542	0	go2_sweet6.jpeg
Prac	prac	P	NA	1	savory	2	0	0	2	1	238	0	go2_savory2.jpeg
Prac	prac	P	NA	1	sweet	2	0	0	4	2	508	0	go2_sweet6.jpeg
Prac	prac	P	NA	1	savory	2	0	0	4	2	537	0	go2_savory4.jpeg
Prac	prac	P	NA	1	sweet	2	1	200	3	2	333	204	go2_sweet4.jpeg
Prac	prac	P	NA	1	savory	2	0	0	4	2	519	0	go2_savory5.jpeg
Prac	prac	P	NA	1	sweet	1	0	0	4	1	526	0	go1_sweet4.jpeg
Prac	prac	P	NA	1	sweet	2	1	150	3	2	383	156	go2_sweet3.jpeg
Prac	prac	P	NA	1	sweet	1	0	0	4	1	634	0	go1_sweet1.jpeg
Prac	prac	P	NA	1	savory	2	0	0	4	2	988	0	go2_savory4.jpeg
Prac	prac	P	NA	1	savory	2	0	0	4	2	516	0	go2_savory6.jpeg
Prac	prac	P	NA	1	sweet	1	0	0	4	1	480	0	go1_sweet6.jpeg
Prac	prac	P	NA	1	savory	2	0	0	4	2	642	0	go2_savory1.jpeg
Prac	prac	P	NA	1	savory	1	0	0	4	1	443	0	go1_savory3.jpeg
Prac	prac	P	NA	1	sweet	1	1	100	4	0	0	104	go1_sweet4.jpeg
Prac	prac	P	NA	1	savory	1	1	150	3	1	540	153	go1_savory5.jpeg
Prac	prac	P	NA	1	sweet	1	0	0	4	1	822	0	go1_sweet5.jpeg
Prac	prac	P	NA	1	sweet	1	1	100	3	1	563	103	go1_sweet6.jpeg
Prac	prac	P	NA	1	sweet	2	0	0	4	2	693	0	go2_sweet2.jpeg
Prac	prac	P	NA	1	savory	2	0	0	4	2	601	0	go2_savory2.jpeg
Prac	prac	P	NA	1	savory	2	0	0	4	2	595	0	go2_savory4.jpeg
Prac	prac	P	NA	1	sweet	2	1	50	3	2	428	52	go2_sweet2.jpeg
Prac	prac	P	NA	1	savory	1	0	0	2	2	739	0	go1_savory5.jpeg
Prac	prac	P	NA	1	sweet	1	0	0	4	1	653	0	go1_sweet2.jpeg
Prac	prac	P	NA	1	savory	2	1	50	3	2	520	55	go2_savory1.jpeg
Prac	prac	P	NA	1	savory	1	0	0	4	1	551	0	go1_savory3.jpeg
