OrigImageName,Block,Category,ED,set,paradigm_name
0004_chocolate chip cookie.png,3,sweet,high,A,setA_hed_sweet1
0008_snacks and nuts.png,5,savory,high,D,setD_hed_savory1
0012_deli meat sandwich.png,5,savory,high,D,setD_hed_savory2
0016_pancakes and syrup.png,3,sweet,high,A,setA_hed_sweet2
0026_potato chips.png,1,savory,high,B,setB_hed_savory1
0046_fries.png,1,savory,high,B,setB_hed_savory2
0053_hot dog.png,1,savory,high,B,setB_hed_savory3
0057_sandwich and chips.png,6,savory,high,C,setC_hed_savory1
0061_pepperoni pizza.png,5,savory,high,D,setD_hed_savory3
0065_cheeseburger.png,2,savory,high,A,setA_hed_savory1
0085_pizza.png,2,savory,high,A,setA_hed_savory2
0086_burger and fries.png,6,savory,high,C,setC_hed_savory2
0097_yellow cake and choc frosting.png,7,sweet,high,C,setC_hed_sweet1
0103_strawberry mousse cake.png,3,sweet,high,A,setA_hed_sweet3
0108_pizza.png,6,savory,high,C,setC_hed_savory3
0113_chips.png,2,savory,high,A,setA_hed_savory3
0140_ice cream bar.png,3,sweet,high,A,setA_hed_sweet4
0145_lasagna.png,1,savory,high,B,setB_hed_savory4
0150_popcorn.png,6,savory,high,C,setC_hed_savory4
0163_chocolate brownie.png,8,sweet,high,D,setD_hed_sweet2
0167_chocolate bar.png,7,sweet,high,C,setC_hed_sweet2
0173_filled choc bar.png,8,sweet,high,D,setD_hed_sweet3
0192 - Apple.jpg,5,sweet,low,B,setB_led_sweet1
0194 - Kiwi.jpg,6,sweet,low,C,setC_led_sweet1
0195 - Cucumber.jpg,1,savory,low,D,setD_led_savory1
0196 - Salad.jpg,1,savory,low,D,setD_led_savory2
0199 - Watermelon.jpg,7,sweet,low,A,setA_led_sweet1
0200 - Oranges.jpg,8,sweet,low,D,setD_led_sweet1
0202 - Blueberry.jpg,5,sweet,low,B,setB_led_sweet2
0208 - Carrot.jpg,2,savory,low,A,setA_led_savory1
0210 - Raspberry.jpg,6,sweet,low,C,setC_led_sweet2
0211 - Strawberry.jpg,7,sweet,low,A,setA_led_sweet2
0250 - Broccoli.jpg,1,savory,low,D,setD_led_savory3
0255 - Pomegranate.jpg,8,sweet,low,D,setD_led_sweet2
0281 - Grapes.jpg,5,sweet,low,B,setB_led_sweet3
0282 - Banana.jpg,6,sweet,low,C,setC_led_sweet3
0285 - Pineapple.jpg,7,sweet,low,A,setA_led_sweet3
0287_choc bar.png,4,sweet,high,B,setB_hed_sweet1
0289_choc cookies.png,7,sweet,high,C,setC_hed_sweet3
0298_choc sandwich cookie.png,4,sweet,high,B,setB_hed_sweet2
0301 - Roasted Chicken.jpg,2,savory,low,A,setA_led_savory2
0302_cheese sticks.png,5,savory,high,D,setD_hed_savory4
0311 - Beef.jpg,3,savory,low,C,setC_led_savory1
0312 - Chicken Fillets.jpg,3,savory,low,C,setC_led_savory2
0317 - Potato Wedges.jpg,2,savory,low,A,setA_led_savory3
